,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B181_mean,0.9445921178969114,0.9391515924904643,0.9891225952241847,1.0159658312255249,1.0847876274308788,1.1203864841523627,0.8713101930748347,1.114515922666464,1.0572347759529437,1.0922854153302552,1.1519857135434852
B182_mean,0.897695019351619,0.8851772393124464,0.9444327171844217,0.9688459562906749,1.037435996278614,1.0665809692585788,0.8276649001498135,1.0665942068502416,0.9990640166378998,1.0445830722315625,1.0965734657713895
B183_mean,0.9238065619053012,0.9155242560880752,0.9799313035051894,0.9922021488245143,1.0707598389889061,1.1024673635250604,0.8672569697964018,1.1044714416709203,1.0355180294627027,1.0741447635543424,1.129764795886786
B184_mean,0.895310376974208,0.8837734880423237,0.9426577269607762,0.9567042823550146,1.0385863681217262,1.0769203003345864,0.8477823101682846,1.0650082831729837,1.005063987054461,1.0390152505650563,1.0959202726294843
B185_mean,0.8918876808358739,0.883627053051626,0.9412556918404547,0.9499663125728633,1.033267421006072,1.0871605976609022,0.8308949757719155,1.0688225295682106,1.0055155109770686,1.0353667432702442,1.0996254041663969
B186_mean,0.9061737699654108,0.9016511276304952,0.9588614338727757,0.9664059393917704,1.0480680027600051,1.1047385845596773,0.8499662874549152,1.082131211210588,1.0206980012593279,1.0585861156543797,1.1112586522344021
B187_mean,0.9132983533537045,0.9239606489463942,0.9666769620399044,0.9621727824545552,1.0684393332520705,1.0808412859682248,0.8747184499061773,1.0897040666654418,1.0346636509777927,1.0635958513611725,1.1117169834407856
B188_mean,0.8452027609373322,0.8411075578512711,0.8995754746466184,0.8738546940437169,0.9905846927122768,1.0021850158274106,0.822687988983959,1.0139568046274297,0.9687041898772231,0.9781118690944902,1.0259026411833687
B189_mean,0.8323816771236396,0.8353463749174049,0.891805603981322,0.8500215283602721,0.9804447732153363,1.0085050760090264,0.8194830030523803,1.0093432986401316,0.9594825011959385,0.9703243468970919,1.014276739356824
B190_mean,0.7641332038174595,0.7761283877293216,0.8420847866199462,0.7729996782491729,0.9196645817806784,0.9187989340825853,0.7951976279738959,0.9379793739355089,0.8945789720515143,0.8916437880022765,0.9292733668199535
B191_mean,0.7181704693867498,0.7273551264811484,0.7946856105474582,0.6923802269669309,0.8713802941830298,0.8500872829594025,0.7606435925224045,0.8781993925703264,0.8439934207076195,0.8180011813967368,0.8408891659250748
B192_mean,0.6536236146788906,0.6811637989043391,0.7585569862039471,0.5955688404201107,0.8113512630281574,0.8054714985619361,0.74997606115127,0.8241320818203657,0.7918081428748421,0.7409990514330277,0.7715536692574592
